"","date","country","unemp_rate"
"529",2014-01-01,"north_macedonia",28
"530",2014-01-01,"serbia",20.7
"531",2014-01-01,"turkiye",9.9
"532",2015-01-01,"croatia",16.2
"533",2015-01-01,"italy",12
"534",2015-01-01,"cyprus",15
"535",2015-01-01,"latvia",9.9
"536",2015-01-01,"lithuania",9.1
"537",2015-01-01,"luxembourg",6.7
"538",2015-01-01,"hungary",6.6
"539",2015-01-01,"malta",5.4
"540",2015-01-01,"netherlands",7.9
"541",2015-01-01,"austria",6.1
"542",2015-01-01,"poland",7.7
"543",2015-01-01,"portugal",13
"544",2015-01-01,"romania",8.4
"545",2015-01-01,"slovenia",9
"546",2015-01-01,"slovakia",11.5
"547",2015-01-01,"finland",9.4
"548",2015-01-01,"sweden",7.5
"549",2015-01-01,"iceland",4
"550",2015-01-01,"norway",4.7
"551",2015-01-01,"switzerland",4.8
"552",2015-01-01,"bosnia_and_herzegovina",NA
"553",2015-01-01,"montenegro",17.6
"554",2015-01-01,"north_macedonia",26.1
"555",2015-01-01,"serbia",19
"556",2015-01-01,"turkiye",10.3
"557",2016-01-01,"croatia",13
"558",2016-01-01,"italy",11.7
"559",2016-01-01,"cyprus",13
"560",2016-01-01,"latvia",9.7
"561",2016-01-01,"lithuania",7.9
"562",2016-01-01,"luxembourg",6.3
"563",2016-01-01,"hungary",5
"564",2016-01-01,"malta",4.7
"565",2016-01-01,"netherlands",7
"566",2016-01-01,"austria",6.5
"567",2016-01-01,"poland",6.3
"568",2016-01-01,"portugal",11.5
"569",2016-01-01,"romania",7.2
"570",2016-01-01,"slovenia",8
"571",2016-01-01,"slovakia",9.6
"572",2016-01-01,"finland",8.9
"573",2016-01-01,"sweden",7.1
"574",2016-01-01,"iceland",3
"575",2016-01-01,"norway",4.9
"576",2016-01-01,"switzerland",5
"577",2016-01-01,"bosnia_and_herzegovina",NA
"578",2016-01-01,"montenegro",17.8
"579",2016-01-01,"north_macedonia",23.7
"580",2016-01-01,"serbia",16.5
"581",2016-01-01,"turkiye",10.9
"582",2017-01-01,"croatia",11.1
"583",2017-01-01,"italy",11.3
"584",2017-01-01,"cyprus",11.1
"585",2017-01-01,"latvia",8.7
"586",2017-01-01,"lithuania",7.1
"587",2017-01-01,"luxembourg",5.5
"588",2017-01-01,"hungary",4
"589",2017-01-01,"malta",4
"590",2017-01-01,"netherlands",5.9
"591",2017-01-01,"austria",5.9
"592",2017-01-01,"poland",5
"593",2017-01-01,"portugal",9.2
"594",2017-01-01,"romania",6.1
"595",2017-01-01,"slovenia",6.6
"596",2017-01-01,"slovakia",8.1
"597",2017-01-01,"finland",8.7
"598",2017-01-01,"sweden",6.8
"599",2017-01-01,"iceland",2.7
"600",2017-01-01,"norway",4.4
"601",2017-01-01,"switzerland",4.8
